No.,domain,name
135,hljcu.edu.cn,Heilongjiang Commercial University
136,hlju.edu.cn,Heilongjiang University
137,hnfjxy.cn,Henan Buddhist College
138,hqgc.net,Logistics Engineering University of PLA
139,hqu.edu.cn,Huaqiao University Quanzhuo
140,hrbeu.edu.cn,Harbin Engineering University
141,hrbmu.edu.cn,Harbin Medical University
142,hrbnu.edu.cn,Harbin Normal University
143,hrbucea.edu.cn,Harbin University of Civil Engineering & Architecture
144,hrbust.edu.cn,Harbin University of Science and Technology
145,hubu.edu.cn,Hubei University
146,hunau.net,Hunan Agricultural University
147,hunnu.edu.cn,Hunan Normal University
148,hunu.edu.cn,Hunan University
149,hust.edu.cn,Huazhong University of Science and Technology
150,hzau.edu.cn,Huazhong Agricultural University
151,hzu.edu.cn,Huizhou University
152,ibub.edu.cn,International Business University of Beijing
153,imau.edu.cn,Inner Mongolia Agricultural University
154,imnu.edu.cn,Inner Mongolia Normal University
155,impu.edu.cn,Inner Mongolia Polytechnic University
156,imu.edu.cn,Inner Mongolia University
157,ipdbuu.com.cn,Beijing Union University
158,jci.edu.cn,Jingdezhen China Institute
159,jlau.edu.cn,Jilin Agricultural University
160,jlu.edu.cn,Jilin University
161,jmu.edu.cn,Jimei University
162,jnu.edu.cn,Jinan University
163,jsu.edu.cn,Jishou University
164,jsust.edu.cn,Jiangsu University of Science and Technology
165,jutcm.com,Jiangxi University of Traditional Chinese Medicine
166,jut.edu.cn,Jilin University of Technology
167,jxau.edu.cn,Jiangxi Agricultural University
168,jxnu.edu.cn,Jiangxi Normal University
169,jxufe.edu.cn,Jiangxi University of Finance and Economics
170,jyu.edu.cn,Jiaying University
171,kmust.edu.cn,Kunmimg University of Science and Technology
172,lctu.edu.cn,Liaocheng Teachers University
173,lidapoly.com,Shanghai Lida Polytechnic Institute
174,lixin.edu.cn,Shanghai Lixin University of Commerce
175,lnnu.edu.cn,Liaoning Normal University
176,lntu.edu.cn,Liaoning Technical University
177,lnu.edu.cn,Liaoning University
178,lumei.edu.cn,Luxun Academy of Fine Art
179,lzmc.edu.cn,Luzhou Medical College
180,lzu.edu.cn,Lanzhou University
181,nbu.edu.cn,Ningbo University
182,nbut.edu.cn,Ningbo University of Technology
183,ncepubj.edu.cn,North China Electric Power University
184,ncu.edu.cn,Nanchang University
185,ncut.edu.cn,North China University of Technology
186,neau.edu.cn,Northeast Agricultural University
187,nefu.edu.cn,Northeast Forest University
188,neijtc.edu.cn,Neijiang Teacher University
189,nenu.edu.cn,Northeast Normal University
190,neu.edu.cn,Northeastern University
191,neuq.edu.cn,Northeast University at Qinhuangdao Campus
192,newasia.bj.edu.cn,Beijing New Asia University
193,njau.edu.cn,Nanjing Agricultural University
194,njfu.edu.cn,Nanjing Forestry University
195,njim.edu.cn,Nanjing Institute of Meteorology
196,njmu.edu.cn,Nanjing Medical University
197,njnu.edu.cn,Nanjing Normal University
198,njtu.edu.cn,Northern Jiaotong University
199,njuct.edu.cn,Nanjing University of Chemical Technology
200,nju.edu.cn,Nanjing University
201,njue.edu.cn,Nanjing University of Economics
202,njupt.edu.cn,Nanjing University of Posts and Telecommunications
203,njust.edu.cn,Nanjing University of Science and Technology
204,njutcm.edu.cn,Nanjing University of Traditional Chinese Medicine
205,njuts.cn,Nanjing Union Theological Seminary
206,nku.nankai.edu.cn,Nankai University
207,nottingham.edu.cn,The University of Nottingham Ningbo China
208,nsmc.edu.cn,Northern Sichuan Medical College
209,nuaa.edu.cn,Nanjing University of Aeronautics and Astronautics
210,nudt.edu.cn,National University of Defense Technology
211,nwau.edu.cn,Northwest A&F University
212,nwnu.edu.cn,Northwest Normal University Lanzhou
213,nwpu.edu.cn,Northwest Polytechnical University Xi'an
214,nwu.edu.cn,Northwest University Xi'an
215,nxmc.edu.cn,Ningxia Medical College
216,nxu.edu.cn,Ningxia University
217,ouc.edu.cn,Ocean University of China
218,peizheng.com.cn,Guangdong Peizheng College
219,pku.edu.cn,Peking University
220,pzhu.edu.cn,Panzhihua University
221,qdu.edu.cn,Qingdao University
222,qfnu.edu.cn,Qufu Normal University
223,qhnu.edu.cn,Qinghai Normal University
224,qhrtvu.edu.cn,Qinghai Radio & Television University
225,qhu.edu.cn,Qinghai University
226,qust.edu.cn,Qingdao University of Science and Technology
227,qzu.edu.cn,Qiongzhou University
228,ruc.edu.cn,Renmin University of China
229,sandau.edu.cn,Shanghai Sanda University
230,sanxiau.edu.cn,Chongqing Three Gorges University
231,sbs.edu.cn,Shanghai Business School
232,scau.edu.cn,South China Agricultural University
233,sccu.edu.cn,South China Construction University
234,scnu.edu.cn,South China Normal University
235,scu.edu.cn,Sichuan University
236,scut.edu.cn,South China University of Technology
237,sdada.edu.cn,Shandong University of Art and Design
238,sdau.edu.cn,Shandong Agricultural University
239,sdie.edu.cn,Shandong Economic University
240,sdju.edu.cn,Shanghai Dainji University
241,sdmu.edu.cn,Shandong Medical University
242,sdnu.edu.cn,Shandong Normal University
243,sdu.edu.cn,Shandong University
