Rank,University
501,Liaocheng University
502,Hebei North University
503,Zhengzhou University of Aeronautics
504,Zhejiang University of Water Resources and Electric Power
505,Jining Medical University
506,Hubei Engineering University
507,Qiannan Normal College for Nationalities
508,Communication University of Zhejiang
509,Bengbu Medical College
510,Guangxi Science and Technology Normal University
511,Huizhou University
512,Huaihua University
513,Xi'an Physical Education University
514,Jiamusi University
515,Huainan Normal University
516,Beijing Wuzi University
517,Mianyang Normal University
518,Heilongjiang University of Science and Technology
519,Yancheng Institute of Technology
520,Jinzhou Medical University
521,Shaanxi Institute of International Trade and Commerce
522,Jilin Animation Institute
523,Anyang Normal University
524,Changsha University
525,Daqing Normal University
526,Yancheng Teachers University
527,Shanghai Institute of Visual Art
528,Shandong First Medical University
529,Shanghai Institute of Technology
530,Gansu University of Chinese Medicine
531,Zunyi Medical University
532,Dezhou University
533,Northwest University of Politics and Law
534,Beibu Gulf University
535,Ningxia Medical University
536,Beijing Information Science and Technology University
537,Tianjin Chengjian University
538,Taiyuan Normal University
539,Zhejiang International Studies University
540,Nanjing Sport Institute
541,Xi'an Siyuan University
542,Shenyang University of Technology
543,Shenyang Medical College
544,Inner Mongolia University of Finance and Economics
545,Liaoning University of Traditional Chinese Medicine
546,Hanjiang Normal University
547,Anhui Wonder University of Information Engineering
548,Hulunbeier University
549,Hubei Polytechnic University
550,Shandong Sport University
551,Guangdong Pharmaceutical University
552,Baicheng Normal University
553,Zhejiang Ocean University
554,Hubei University of Chinese Medicine
555,Hunan Institute of Engineering
556,Ningbo University of Finance and Economics
557,Guizhou Medical University
558,Tianjin Polytechnic University
559,Xijing University
560,Kashi University
561,Xiangnan University
562,Lanzhou Institute of Technology
563,Neijiang Normal University
564,Xinyang Normal University
565,Changsha Normal University
566,Shandong University of Art and Design
567,Jilin University of Finance and Economics
568,Baoshan University
569,North China Institute of Aerospace Engineering
570,Guizhou Education University
571,Zhengzhou Institute of Finance and Economics
572,Wuhan Sports University
573,Minnan Normal University
574,Wuchang University of Technology
575,Fujian University of Traditional Chinese Medicine
576,Changchun Normal University
577,Hexi University
578,Zhejiang Wanli University
579,Jilin Normal University
580,Hainan Tropical Ocean University
581,East China University of Technology
582,Mudanjiang Normal University
583,Heze University
584,Dalian Ocean University
585,Nanchang Institute of Technology
586,Zunyi Normal College
587,Xiamen Huaxia University
588,Hefei Normal University
589,Guangxi University of Science and Technology
590,Qingdao Binhai University
591,Hebei GEO University
592,Shaanxi University of Chinese Medicine
593,Xinyu University
594,Jilin Jianzhu University
595,West Anhui University
596,Southwest Medical University
597,Yinchuan Energy Institute
598,Northwest University for Nationalities
599,LuXun Academy of Fine Arts
600,Shandong Technology and Business University
601,Tarim University
602,"Zhengzhou Shengda University of Economics, Business and Management"
603,Haikou College of Economics
604,Hunan Women's University
605,Yibin University
606,Hebei Institute of Physical Education
607,Xichang College
608,Yunnan Arts University
609,Wuxi Taihu University
610,Fuyang Normal University
611,Xinjiang Agricultural University
612,Guangdong University of Petrochemical Technology
613,Hunan University of Commerce
614,Beijing University of Agriculture
615,Jiangxi University of Technology
616,Ludong University
617,Chengdu Medical College
618,Anqing Normal University
619,Xi'an Peihua University
620,Civil Aviation Flight University of China
621,Chuxiong Normal University
622,Tianjin Agricultural University
623,Ningxia Institute of Science and Technology
624,Xi'an University of Finance and Economics
625,Xinjiang University of Finance and Economics
626,Guangxi University of Chinese Medicine
627,Yunnan University of Traditional Chinese Medicine
628,Chongqing Three Gorges University
629,Shanghai Business School
630,Xizang Minzu University
631,Baise University
632,Shenyang Conservatory of Music
633,Shaanxi Xueqian Normal University
634,Changchun University of Chinese Medicine
635,Jilin College of the Arts
636,Wuzhou University
637,Beijing Institute of Fashion Technology
638,Guangdong Baiyun University
639,Zhaoqing University
640,Hunan First Normal University
641,Chengdu Sport University
642,Yunnan University of Finance and Economics
643,Hebei Finance University
644,Fujian Business University
645,Xingtai University
646,Jiangsu University of Technology
647,Guilin University of Aerospace Technology
648,Hunan University of Arts and Science
649,Tianjin Conservatory of Music
650,Hunan International Economics University
651,Ankang University
652,Fujian Jiangxia University
653,Beijing Electronic Science and Technology Institute
654,Guangzhou Sport University
655,Shenyang University
656,Hubei University for Nationalities
657,Taishan University
658,Hunan University of Chinese Medicine
659,Chengdu Technological University
660,Anhui Sanlian University
661,Hainan Medical University
662,Weifang Medical University
663,Gannan Normal University
664,Tonghua Normal University
665,Hubei University of Arts and Science
666,Ningxia Normal University
667,Guangdong University of Education
668,Yantai Nanshan University
669,Hengyang Normal University
670,Inner Mongolia University of Science and Technology
671,Wenhua University
672,Inner Mongolia University for the Nationalities
673,Gansu University of Political Science and Law
674,Guiyang University
675,Shougang Institute of Technology
676,Taizhou University
677,Xi'an Fanyi University
678,Shandong Xiehe University
679,Shenyang University of Chemical Technology
680,Xi'an Technological University
681,Xi'an Aeronautical University
682,Qilu Normal University
683,Yulin Normal University
684,Wenzhou-Kean University
685,Luoyang Normal University
686,Capital University of Physical Education and Sports
687,Changchun Institute of Technology
688,Wuyi University
689,Wenzhou Business College
690,Jilin Engineering Normal University
691,Sanda University
692,Heilongjiang Institute of Technology
693,Shanxi University of Traditional Chinese Medicine
694,Hebei Institute of Communication
695,Jilin Business and Technology College
696,Tianjin Tianshi College
697,Binzhou University
698,Suzhou University
699,Jiangxi Science and Technology Normal University
700,Inner Mongolia Medical University
701,Beihai College of Art and Design
702,Quanzhou Institute of Information Engineering
703,The Central Academy of Drama
704,Baoding University
705,Guangxi Arts University
706,Guangxi University of Foreign Languages
707,Panzhihua University
708,Zhoukou Normal University
709,Zhengzhou Institute of Technology
710,Yang-En University
711,Jilin International Studies University
712,Tianjin Zhongde University of Applied Sciences
713,Zaozhuang University
714,Zhengzhou Technology and Business University
715,North China Institute of Science and Technology
716,Tongling University
717,Jilin Institute of Chemical Technology
718,Hebei University of Chinese Medicine
719,Handan College
720,Weinan Normal University
721,Xi'an Conservatory of Music
722,Yichun University
723,Xinjiang Arts University
724,Xi'an Shiyou University
725,Bengbu University
726,Chifeng University
727,"Neusoft Institute, Guangdong"
728,University of Science and Technology Liaoning
729,Sanjiang University
730,Yili Normal University
731,Luliang University
732,Chongqing University of Arts and Sciences
733,Beijing Geely University
734,Shandong University of Political Science and Law
735,Harbin University
736,Hebei University of Architecture
737,Guiyang University Traditional Chinese Medicine
738,Chengdu Normal University
739,Wuhan College of Media and Communications
740,Heilongjiang Bayi Agricultural University
741,Hunan Institute of Technology
742,Kunming Medical University
743,Guangdong Peizheng College
744,Chaohu University
745,Lishui University
746,Shanghai University of Medicine and Health Sciences
747,Shangluo University
748,Pingdingshan University
749,Jiangsu Second Normal University
750,Shanxi Datong University
751,Shandong Youth University of Political Science
752,Yangtze Normal University
753,Zhengzhou Normal University
754,Hetao College
755,Guizhou Minzu University
756,Inner Mongolia Arts University
757,Lanzhou City University
758,Liaoning Institute of Science and Technology
759,Sichuan University for Nationalities
760,Xi'an Medical University
761,Suihua University
762,"Hunan University of Humanities, Science and Technology"
763,Xianyang Normal University
764,Harbin Institute of Information Technology
765,Qiqihar Medical University
766,Harbin Institute of Physical Education
767,Hebei Foreign Studies University
768,Xinxiang University
769,Minnan University of Science and Technology
770,Hebei Polytechnic Institute
771,Gansu Normal University for Nationalities
772,Mudanjiang Medical University
773,Guangzhou College of Commerce
774,Changchun University of Science and Technology
775,Wuhan Institute of Bioengineering
776,Xinyang Agriculture and Forestry University
777,Sichuan University of Media and Communications
778,Qilu Medical University
779,Henan Finance University
780,Zhengzhou University of Industrial Technology
781,Jilin Medical University
782,Anshan Normal University
783,Zhejiang Conservatory of Music
784,Weifang University of Science and Technology
785,Kunming University
786,Tibetan Traditional Medical College
787,Sichuan Tourism University
788,Eastern Liaoning University
789,Changchun Architecture and Civil Engineering College
790,Harbin Guangxia University
791,Hubei Business College
792,Henan University of Animal Husbandry and Economy
793,Xiamen Institude of Technology
794,Yanjing Institute of Technology
795,Liaoning University of International Business and Economics
796,Shandong Management University
797,Cangzhou Normal University
798,Shangqiu Institute of Technology
799,Hengshui University
800,Hunan Institute of Information Technology
801,Changchun Guanghua University
802,Moutai Institute
803,Wuchang Institute of Technology
804,Wuhan Technology and Business University
805,Shandong Xiandai University
806,Qiongtai Normal University
807,Shandong Women's University
808,Hebei College of Science and Technology
809,East University of Heilongjiang
810,Wenshan University
811,Yulin University
812,Shandong Agriculture and Engineering University
813,Hebei University of Environmental Engineering
814,Wuhan Business University
815,Guangzhou Maritime University
816,Nanchang Institute of Science and Technology
817,Wuhan Donghu University
818,Sichuan University of Arts and Science
819,Liupanshui Normal University
820,Hebei Normal University for Nationalities
821,Zhengzhou Chenggong University of Finance and Economics
822,Zhengzhou University of Science and Technology
823,Nanchang Normal University
824,Hangzhou Medical College
825,Henan Institute of Technology
826,Shanxi Technology and Business College
827,Chizhou University
828,Hunan University of Finance and Economics
829,Liaoning Communication University
830,"Chongqing College of Humanities, Science and Technology"
831,Shenzhen MSU-BIT University
832,Longdong University
833,Chengdu College of Arts and Sciences
834,Shandong Huayu University of Technology
835,SanQuan Medical College
836,Heihe University
837,Gannan Medical University
838,Xingyi Normal University for Nationalities
839,Guizhou Institute of Technology
840,Liaoning Finance and Trade College
841,Jinzhong University
842,Shaanxi Fashion Engineering University
843,Shijiazhuang University
844,Aba Teachers University
845,Wuchang Shouyi University
846,Changji University
847,Lanzhou University of Arts and Science
848,Chongqing Institute of Engineering
849,Langfang Teachers University
850,Anhui Institute of Information Technology
851,Zhangjiakou University
852,Chengdu Neusoft University
853,Anhui International Studies University
854,Harbin Conservatory of Music
855,Shenyang Urban Construction University
856,Changzhi University
857,Anshun University
858,Guilin Tourism University
859,Tongren University
860,Qujing Normal University
861,Heilongjiang International University
862,Inner Mongolia Nationality College
863,Wuhan University of Engineering Science
864,Qilu Institute of Technology
865,Hebei Academy of Fine Arts
866,Suqian College
867,Hankou University
868,Yunnan Technology and Business University
869,Kaili University
870,Wuhan Institute of Design and Sciences
871,Qiqihar Institute of Engineering
872,Zhaotong University
873,NanTong Institute of Technology
874,Heilongjiang University of Finance and Economics
875,Gansu Medical College
876,Jilin Agricultural Science and Technology College
877,Jiangxi Institute of Fashion Technology
878,Harbin Institute of Petroleum
879,Sichuan University of Culture and Arts
880,Dalian Art College
881,Shangqiu University
882,Anyang University
883,Nanning University
884,Xi'an Traffic Engineering Institute
885,Wuhan Huaxia University of Technology
886,Liaoning Institute of Science and Engineering
887,Guizhou University of Commerce
888,Youjiang Medical University for Nationalities
889,Guizhou University of Engineering Science
890,Harbin Finance University
891,Guangdong University of Technology
892,Bozhou University
893,Hezhou University
894,Pingxiang University
895,Shanxi Institute of Technology
896,Wuhan College
897,Qingdao Institute of Technology
898,Qingdao Hengxing University of Science and Technology
899,Yunnan College of Business Management
900,Hubei University of Science and Technology
901,Fuzhou Institute of Technology
902,Harbin Far East Institute of Technology
903,Shangrao Normal University
904,Taiyuan University
905,Xinzhou Teachers University
906,Ordos Institute of Technology
907,Shenyang City University
908,He University
909,Dalian University of Finance and Economics
910,Wuhan Qingchuan University
911,Xinjiang Institute of Engineering
912,Communication University of Shanxi
913,Shenyang Institute of Technology
914,Hunan Institute of Traffic Engineering
915,Shanghai Xingwei College
916,Guangdong University of Science and Technology
917,Yuzhang Normal University
918,Puer University
919,Yingkou Institute of Technology
920,Changchun University of Finance and Economics
921,Hunan Applied Technology University
922,Xinyang University
923,Jingdezhen University
924,Xinghai Conservatory of Music
925,Harbin Cambridge University
926,Hunan University of Medicine
927,Harbin Huade University
928,Shanxi College of Applied Science and Technology
929,Heilongjiang College of Business and Technology
930,Dalian University of Science and Technology
931,Sichuan Film and Television University
932,Jining Normal University
933,Sichuan Institute of Industrial Technology
934,West Yunnan University of Applied Sciences
935,Heilongjiang University of Technology
936,West Yunnan University
937,Shenyang Institute of Science and Technology
938,Sanming University
939,Shanxi Institute of Energy
