Rank,University Name,Domain,MX,SPF,DKIM,DMARC
74,China University of Mining and Technology,cumt.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
75,Dalian University of Foreign Languages,dlufl.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,True
76,"Northwest University, China",nwu.edu.cn,[<DNS IN MX rdata: 8 mail.nwu.edu.cn.>],True,False,False
77,Henan University,henu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
78,Fuzhou University,fzu.edu.cn,[<DNS IN MX rdata: 100 fzu.edu.cn.>],True,False,False
79,China Three Gorges University,ctgu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
80,Jingchu University of Technology,jcut.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
81,Shanghai International Studies University,shisu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
82,Shandong Normal University,sdnu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
83,Dalian Maritime University,dlmu.edu.cn,[<DNS IN MX rdata: 5 mailgw.dlmu.edu.cn.>],True,False,False
84,Hunan Normal University,hunnu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],False,False,False
85,Southwest University,swu.edu.cn,[<DNS IN MX rdata: 10 mail.swu.edu.cn.>],True,False,False
86,Zhejiang Normal University,zjnu.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,False
87,Shanghai University of Finance and Economics,sufe.edu.cn,[<DNS IN MX rdata: 3 mx-shufe-edu-cn.icoremail.net.>],True,False,False
88,Anhui University,ahu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
89,Beijing Language and Culture University,blcu.edu.cn,[<DNS IN MX rdata: 20 mxbiz2.qq.com.>],True,False,False
90,Hainan University,hainanu.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,True
91,Yanshan University,ysu.edu.cn,[<DNS IN MX rdata: 0 mail.ysu.edu.cn.>],True,True,False
92,Jiangsu University,ujs.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
93,Shaanxi Normal University,snnu.edu.cn,[<DNS IN MX rdata: 40 mxcnc2.snnu.edu.cn.>],True,False,False
94,Tianjin University of Technology,tjut.edu.cn,[<DNS IN MX rdata: 3 tjut.abroad.eyou.net.>],True,False,False
95,Huazhong Agricultural University,hzau.edu.cn,[<DNS IN MX rdata: 0 mail.hzau.edu.cn.>],True,False,False
96,Harbin Engineering University,hrbeu.edu.cn,[<DNS IN MX rdata: 10 mx2.hrbeu.edu.cn.>],True,False,False
97,Hohai University,hhu.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,True
98,Changchun University,ccu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
99,China Europe International Business School,ceibs.edu,[<DNS IN MX rdata: 10 categorizer0.ceibs.edu.>],True,False,False
100,University of Shanghai for Science and Technology,usst.edu.cn,[<DNS IN MX rdata: 10 smtp.usst.edu.cn.>],True,False,False
101,Zhejiang University of Technology,zjut.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
