Rank,name,domain
283,Liaoning Normal University,lnnu.edu.cn
284,Harbin University of Science and Technology,hrbust.edu.cn
285,Hebei University of Science and Technology,hebust.edu.cn
286,Xuchang University,xcu.edu.cn
287,Lanzhou Jiaotong University,lzjtu.edu.cn
288,"Wuyi University, Guangdong",wyu.edu.cn
289,Peking Union Medical College,pumc.edu.cn
290,Qinghai Normal University,qhnu.edu.cn
291,Shaoyang University,hnsyu.edu.cn
292,Xi'an International Studies University,xisu.edu.cn
293,Lanzhou University of Finance and Economics,lzufe.edu.cn
294,Huaiyin Institute of Technology,hyit.edu.cn
295,Liaoning Technical University,lntu.edu.cn
296,Fujian University of Technology,fjut.edu.cn
297,Wannan Medical College,wnmc.edu.cn
298,Nanjing University of the Arts,nua.edu.cn
299,Tianjin University of Commerce,tjcu.edu.cn
300,Guangdong Technion Israel Institute of Technology,gtiit.edu.cn
301,Chongqing Jiaotong University,cqjtu.edu.cn
302,Bohai University,bhu.edu.cn
303,Qinghai University,qhu.edu.cn
304,Nanjing Institute of Technology,njit.edu.cn
305,Shanghai University of Political Science and Law,shupl.edu.cn
306,Jiangxi Agricultural University,jxau.edu.cn
307,Duke Kunshan University,dukekunshan.edu.cn
308,Shenyang Aerospace University,sau.edu.cn
309,Guangxi Medical University,gxmu.edu.cn
310,Changsha Medical University,csmu.edu.cn
311,Yuncheng University,ycu.edu.cn
312,People's Public Security University of China,ppsuc.edu.cn
313,Guangzhou Academy of Fine Arts,gzarts.edu.cn
314,Beijing City University,bcu.edu.cn
315,Shanghai University of Sport,sus.edu.cn
316,Hangzhou Normal University,hznu.edu.cn
317,Zhengzhou University of Light Industry,zzuli.edu.cn
318,North University of Nationalities,nmu.edu.cn
319,Shenyang Pharmaceutical University,syphu.edu.cn
320,Inner Mongolia University of Technology,imut.edu.cn
321,Xihua University,xhu.edu.cn
322,Xi'an University of Technology,xaut.edu.cn
323,Tianjin University of Technology and Education,tute.edu.cn
324,Hunan University of Technology,hut.edu.cn
325,Xuzhou Institute of Technology,xzit.edu.cn
326,Southwest University of Science and Technology,swust.edu.cn
327,Anhui University of Chinese Medicine,ahtcm.edu.cn
328,Hebei University of Economics and Business,heuet.edu.cn
329,Central South University of Forestry and Technology,csuft.edu.cn
330,Shanxi Medical University,sxmu.edu.cn
331,Zhongkai University of Agriculture and Engineering,zhku.edu.cn
332,Wenzhou Medical University,wmu.edu.cn
333,Hubei University of Medicine,http://hbmu.edu.cn
334,Beijing Film Academy,bfa.edu.cn
335,Jilin Agricultural University,jlau.edu.cn
336,Shanghai Second Polytechnic University,sspu.edu.cn
337,Lingnan Normal University,lingnan.edu.cn
338,Xi'an University of Science and Technology,xust.edu.cn
339,Qingdao Agricultural University,qau.edu.cn
340,Tianjin Academy of Fine Arts,tjarts.edu.cn
341,Shenyang Agricultural University,syau.edu.cn
342,Inner Mongolia Normal University,imnu.edu.cn
343,Linyi University,lyu.edu.cn
344,Minjiang University,mju.edu.cn
345,Hubei Normal University,hbnu.edu.cn
346,Beijing Institute of Graphic Communication,bigc.edu.cn
347,Anhui Xinhua University,axhu.edu.cn
348,North University of China,nuc.edu.cn
349,Northeast Electric Power University,neepu.edu.cn
350,Hubei University of Economics,hbue.edu.cn
351,Wuhan Polytechnic University,whpu.edu.cn
352,Henan University of Urban Construction,hncj.edu.cn
353,United International College,uic.edu.cn
354,Jingdezhen Ceramic Institute,jci.edu.cn
355,Shanxi Agricultural University,sxau.edu.cn
356,Luoyang Institute of Science and Technology,lit.edu.cn
357,Xinjiang Normal University,xjnu.edu.cn
358,Shandong Jianzhu University,sdjzu.edu.cn
359,Shenyang Normal University,synu.edu.cn
360,Guangzhou University of Chinese Medicine,gzucm.edu.cn
361,Weifang University,wfu.edu.cn
362,Chongqing Technology and Business University,ctbu.edu.cn
363,Ningbo University of Technology,nbut.edu.cn
364,Henan Agricultural University,henau.edu.cn
365,Nanjing Xiaozhuang University,njxzc.edu.cn
366,Hubei University of Education,hue.edu.cn
367,Hebei University of Engineering,hebeu.edu.cn
368,Beijing Institute of Petrochemical Technology,bipt.edu.cn
369,Changchun University of Technology,ccut.edu.cn
370,Jianghan University,jhun.edu.cn
371,Jinling Institute of Technology,jit.edu.cn
372,Anhui Polytechnic University,ahpu.edu.cn
373,Nanjing University of Finance and Economics,nufe.edu.cn
374,Chongqing University of Technology,cqut.edu.cn
375,Jiangxi University of Science and Technology,jxust.edu.cn
376,Shanghai Theatre Academy,sta.edu.cn
377,Shanghai Dianji University,sdju.edu.cn
378,Shanghai University of Traditional Chinese Medicine,shutcm.edu.cn
379,Nanyang Institute of Technology,nyist.edu.cn
380,Guangxi University for Nationalities,gxmzu.edu.cn
381,Huaiyin Normal University,hytc.edu.cn
382,Shandong Jiaotong University,sdjtu.edu.cn
383,Nanjing University of Chinese Medicine,njucm.edu.cn
384,Jiangxi University of Traditional Chinese Medicine,jxutcm.edu.cn
385,Southwest Forestry University,swfu.edu.cn
386,The National Academy of Chinese Theatre Arts,nacta.edu.cn
387,Xuzhou Medical University,xzhmu.edu.cn
388,China West Normal University,cwnu.edu.cn
389,Hanshan Normal University,hstc.edu.cn
390,Tianjin Medical University,tmu.edu.cn
391,Shandong Agricultural University,sdau.edu.cn
392,Jiangsu Ocean University,jou.edu.cn
393,Quanzhou Normal University,qztc.edu.cn
394,Tianshui Normal University,tsnu.edu.cn
395,Liaoning University of Technology,lnut.edu.cn
396,Shandong University of Traditional Chinese Medicine,sdutcm.edu.cn
397,Tianjin University of Finance and Economics,tjufe.edu.cn
398,Guilin Medical University,glmc.edu.cn
399,Chongqing University of Education,cque.edu.cn
400,Beijing Technology and Business University,btbu.edu.cn
401,Liaoning Shihua University,lnpu.edu.cn
402,Dalian Medical University,dmu.edu.cn
403,Changshu Institute of Technology,cslg.edu.cn
404,Hubei Institute of Fine Arts,hifa.edu.cn
405,Yanbian University,ybu.edu.cn
406,Yan'an University,yau.edu.cn
407,Inner Mongolia Agricultural University,imau.edu.cn
408,Henan University of Traditional Chinese Medicine,hactcm.edu.cn
409,Beijing Union University,buu.edu.cn
410,Dalian Nationalities University,dlnu.edu.cn
411,Southwest University for Nationalities,swun.edu.cn
412,Qiqihar University,qqhru.edu.cn
413,Hainan Normal University,hainnu.edu.cn
414,Baoji University of Arts and Sciences,bjwlxy.cn
415,North Sichuan Medical College,nsmc.edu.cn
416,Chuzhou University,chzu.edu.cn
417,North China University of Science and Technology,ncst.edu.cn
418,China Youth University for Political Sciences,zytx.org.cn
419,Huanggang Normal University,hgnc.net
420,Beijing Dance Academy,bda.edu.cn
421,Beijing Sport University,bsu.edu.cn
422,Guangzhou Medical University,gzhmu.edu.cn
423,Henan Institute of Science and Technology,hist.edu.cn
424,Shanghai Jianqiao University,gench.edu.cn
425,Shenyang Jianzhu University,sjzu.edu.cn
426,Xinxiang Medical University,xxmu.edu.cn
427,Huanghe Jiaotong University,zjtu.edu.cn
428,Henan Institute of Engineering,haue.edu.cn
429,Henan University of Economics and Law,huel.edu.cn
430,Nanyang Normal University,nynu.edu.cn
431,Xi'an Polytechnic University,xpu.edu.cn
432,North China University of Water Resources and Electric Power,ncwu.edu.cn
433,Shanghai Conservatory of Music,shcmusic.edu.cn
434,Huangshan University,hsu.edu.cn
435,Dalian Jiaotong University,djtu.edu.cn
436,Dalian Neusoft University of Information,neusoft.edu.cn
437,Henan University of Technology,haut.edu.cn
438,Shanxi University of Finance and Economics,sxufe.edu.cn
439,Heilongjiang University of Chinese Medicine,hljucm.net
440,Ningde Normal University,ndnu.edu.cn
441,Jinggangshan University,jgsu.edu.cn
442,Zhejiang Chinese Medical University,zcmu.edu.cn
443,Binzhou Medical University,bzmc.edu.cn
444,Xi'an Academy of Fine Arts,xafa.edu.cn
445,Changzhou Institute of Technology,czu.cn
446,Hunan City University,hncu.edu.cn
447,Xi'an Eurasia University,eurasia.edu
448,Shaoguan University,sgu.edu.cn
449,Hunan University of Science and Engineering,huse.edu.cn
450,Tianjin University of Sport,tjus.edu.cn
451,Guangxi Teachers Education University,gxtc.edu.cn
452,Nanchang Institute of Technology,nit.edu.cn
453,Beihua University,beihua.edu.cn
454,Anyang Institute of Technology,ayit.edu.cn
455,Jining University,jnxy.edu.cn
456,Chengde Medical University,cdmc.edu.cn
457,Honghe University,uoh.edu.cn
458,Chongqing University of Science and Technology,cqust.edu.cn
459,Huaibei Normal University,chnu.edu.cn
460,Guangxi University of Finance and Economics,gxufe.edu.cn
461,Xi'an University of Posts and Telecommunications,xiyou.edu.cn
462,Dalian Polytechnic University,dlpu.edu.cn
463,Hunan University of Science and Technology,hnust.edu.cn
464,Wuhan Conservatory of Music,whcm.edu.cn
465,Sanya University,sanyau.edu.cn
466,Shandong University of Arts,sdca.edu.cn
467,Sichuan Conservatory of Music,sccm.cn
468,Northeast Petroleum University,nepu.edu.cn
469,China Women's University,cwu.edu.cn
470,Tangshan Normal University,tstc.edu.cn
471,Shaanxi University of Technology,snut.edu.cn
472,Shangqiu Normal University,sqnu.edu.cn
473,Hechi University,hcnu.edu.cn
474,Zhejiang Yuexiu University of Foreign Languages,zyufl.edu.cn
475,Huanghuai University,huanghuai.edu.cn
476,Guangdong Polytechnic Normal University,gpnu.edu.cn
477,China University of Labor Relations,culr.edu.cn
478,East China Jiaotong University,ecjtu.edu.cn
479,Huzhou University,zjhu.edu.cn
480,Harbin University of Commerce,hrbcu.edu.cn
481,Longyan University,lyun.edu.cn
482,Anhui Science and Technology University,ahstu.edu.cn
483,University of International Relations,uir.cn
484,Shandong Yingcai University,sdycu.edu.cn
485,Shenyang Sport University,syty.edu.cn
486,Taiyuan Institute of Technology,tit.edu.cn
487,Huanghe Science and Technology College,hhstu.edu.cn
488,Tibet University,utibet.edu.cn
489,Xinjiang Medical University,xjmu.edu.cn
490,Guangdong University of Finance,gduf.edu.cn
491,Hebei Normal University of Science and Technology,hevttc.edu.cn
492,Qingdao University of Technology,qut.edu.cn
493,Guangxi Normal University for Nationalities,gxnun.edu.cn
494,Guizhou University of Finance and Economics,gufe.edu.cn
495,Tangshan College,tsc.edu.cn
496,Changzhi Medical College,czmc.com
497,Qingdao Huanghai University,qdhhc.edu.cn
498,Qinghai University for Nationalities,qhmu.edu.cn
499,China Conservatory of Music,ccmusic.edu.cn
500,Jiangsu Teachers University of Technology,jstu.edu.cn
501,Liaocheng University,lcu.edu.cn
502,Hebei North University,hebeinu.edu.cn
503,Zhengzhou University of Aeronautics,https://zua.edu.cn
504,Zhejiang University of Water Resources and Electric Power,zjweu.edu.cn
505,Jining Medical University,jnmc.edu.cn
506,Hubei Engineering University,hbeu.cn
507,Qiannan Normal College for Nationalities,hsrd.cc
508,Communication University of Zhejiang,cuz.edu.cn
509,Bengbu Medical College,bbmc.edu.cn
510,Guangxi Science and Technology Normal University,gxstnu.edu.cn
511,Huizhou University,hzu.edu.cn
512,Huaihua University,hhtc.edu.cn
513,Xi'an Physical Education University,xaipe.edu.cn
514,Jiamusi University,jmsu.cn
515,Huainan Normal University,hnnu.edu.cn
516,Beijing Wuzi University,bwu.edu.cn
517,Mianyang Normal University,mnu.cn
518,Heilongjiang University of Science and Technology,usth.edu.cn
519,Yancheng Institute of Technology,ycit.cn
520,Jinzhou Medical University,jzmu.edu.cn
521,Shaanxi Institute of International Trade and Commerce,csiic.edu.cn
522,Jilin Animation Institute,jlai.edu.cn
523,Anyang Normal University,aynu.edu.cn
524,Changsha University,ccsu.cn
525,Daqing Normal University,dqsy.net
526,Yancheng Teachers University,yctc.edu.cn
527,Shanghai Institute of Visual Art,siva.edu.cn
528,Shandong First Medical University,sdfmu.edu.cn
529,Shanghai Institute of Technology,sit.edu.cn
530,Gansu University of Chinese Medicine,gszy.edu.cn
531,Zunyi Medical University,zmu.edu.cn
532,Dezhou University,dzu.edu.cn
533,Northwest University of Politics and Law,nwupl.edu.cn
534,Beibu Gulf University,bbgu.edu.cn
535,Ningxia Medical University,nxmu.edu.cn
536,Beijing Information Science and Technology University,bistu.edu.cn
537,Tianjin Chengjian University,tcu.edu.cn
538,Taiyuan Normal University,tynu.edu.cn
539,Zhejiang International Studies University,zisu.edu.cn
540,Nanjing Sport Institute,nipes.cn
541,Xi'an Siyuan University,xasyu.cn
542,Shenyang University of Technology,sut.edu.cn
543,Shenyang Medical College,symc.edu.cn
544,Inner Mongolia University of Finance and Economics,imufe.edu.cn
545,Liaoning University of Traditional Chinese Medicine,lnutcm.edu.cn
546,Hanjiang Normal University,hjnu.edu.cn
547,Anhui Wonder University of Information Engineering,wenda.edu.cn
548,Hulunbeier University,hlbrc.cn
549,Hubei Polytechnic University,hbpu.edu.cn
550,Shandong Sport University,sdpei.edu.cn
551,Guangdong Pharmaceutical University,gdpu.edu.cn
552,Baicheng Normal University,bcsfxy.com
553,Zhejiang Ocean University,zjou.edu.cn
554,Hubei University of Chinese Medicine,hbtcm.edu.cn
555,Hunan Institute of Engineering,hnie.edu.cn
556,Ningbo University of Finance and Economics,nbufe.edu.cn
557,Guizhou Medical University,gmc.edu.cn
558,Tianjin Polytechnic University,tjpu.edu.cn
559,Xijing University,xijing.edu.cn
560,Kashi University,ksu.edu.cn
561,Xiangnan University,xnu.edu.cn
562,Lanzhou Institute of Technology,lzit.edu.cn
563,Neijiang Normal University,njtc.edu.cn
564,Xinyang Normal University,xynu.edu.cn
565,Changsha Normal University,cssf.cn
566,Shandong University of Art and Design,sdada.edu.cn
567,Jilin University of Finance and Economics,jlufe.edu.cn
568,Baoshan University,bsnc.cn
569,North China Institute of Aerospace Engineering,nciae.edu.cn
570,Guizhou Education University,gznc.edu.cn
571,Zhengzhou Institute of Finance and Economics,zzife.edu.cn
572,Wuhan Sports University,whsu.edu.cn
573,Minnan Normal University,mnnu.edu.cn
574,Wuchang University of Technology,wut.edu.cn
575,Fujian University of Traditional Chinese Medicine,fjtcm.edu.cn
576,Changchun Normal University,ccsfu.edu.cn
577,Hexi University,hxu.edu.cn
578,Zhejiang Wanli University,zwu.edu.cn
579,Jilin Normal University,jlnu.edu.cn
580,Hainan Tropical Ocean University,hntou.edu.cn
581,East China University of Technology,ecit.edu.cn
582,Mudanjiang Normal University,mdjnu.cn
583,Heze University,hezeu.edu.cn
584,Dalian Ocean University,dlou.edu.cn
585,Nanchang Institute of Technology,nut.edu.cn
586,Zunyi Normal College,zync.edu.cn
587,Xiamen Huaxia University,hxxy.edu.cn
588,Hefei Normal University,hfnu.edu.cn
589,Guangxi University of Science and Technology,gxust.edu.cn
590,Qingdao Binhai University,qdbhu.edu.cn
591,Hebei GEO University,hgu.edu.cn
592,Shaanxi University of Chinese Medicine,sntcm.edu.cn
593,Xinyu University,xyc.edu.cn
594,Jilin Jianzhu University,jlju.edu.cn
595,West Anhui University,wxc.edu.cn
596,Southwest Medical University,swmu.edu.cn
597,Yinchuan Energy Institute,ycu.com.cn
598,Northwest University for Nationalities,xbmu.edu.cn
599,LuXun Academy of Fine Arts,lumei.edu.cn
600,Shandong Technology and Business University,sdtbu.edu.cn
601,Tarim University,taru.edu.cn
602,"Zhengzhou Shengda University of Economics, Business and Management",shengda.edu.cn
603,Haikou College of Economics,hkc.edu.cn
604,Hunan Women's University,hnwu.edu.cn
